Combination,Fold,Epoch,Train Loss,Validation Loss,Hidden Dimension,Number of Layers,Initial Learning Rate,Model
0,0,0,0.8228351971134543,0.8329271867871284,0,0,0.7,GLM
0,0,1,0.7819573521614075,0.3496901790611446,0,0,0.7,GLM
0,1,0,0.7160224383696914,0.7153881467878819,0,0,0.7,GLM
0,1,1,0.9134894337505102,0.406537221185863,0,0,0.7,GLM
0,1,2,0.4080730494111776,0.37289691949263215,0,0,0.7,GLM
0,2,0,0.630460898578167,0.6185200467705727,0,0,0.7,GLM
0,2,1,0.7403936818242073,0.3533953714184463,0,0,0.7,GLM
0,2,2,0.6111431371420621,0.29391734628006816,0,0,0.7,GLM
0,3,0,0.6245004523545503,0.6249200716614723,0,0,0.7,GLM
0,3,1,0.8194549441337585,0.8467158354818821,0,0,0.7,GLM
0,3,2,0.4962302416563034,0.33969370778650043,0,0,0.7,GLM
0,4,0,0.9133475387468935,0.9206790581345559,0,0,0.7,GLM
0,4,1,0.9012380309402943,0.8260507954284548,0,0,0.7,GLM
0,4,2,0.6814299039542675,0.5904315850697458,0,0,0.7,GLM
0,4,3,0.38224670849740505,0.35430863602086904,0,0,0.7,GLM
0,4,4,0.3700001955032349,0.2873880752362311,0,0,0.7,GLM
0,4,5,0.3734311152249575,0.2846114268526435,0,0,0.7,GLM
0,4,6,0.33258905783295634,0.2841974367387593,0,0,0.7,GLM
0,5,0,0.7106420766562224,0.711548765951937,0,0,0.7,GLM
0,5,1,0.6669071439653635,2.25239866590974,0,0,0.7,GLM
0,5,2,0.5490580808371306,0.4392646693370559,0,0,0.7,GLM
0,5,3,0.41690279357135296,0.3214059484783899,0,0,0.7,GLM
0,6,0,0.7166561029851437,0.709271336143667,0,0,0.7,GLM
0,6,1,0.6861936450004578,0.34717741883783176,0,0,0.7,GLM
0,6,2,0.49328586272895336,0.3115843655541539,0,0,0.7,GLM
0,7,0,0.8878533117473125,0.8889243067665533,0,0,0.7,GLM
0,7,1,0.8537379890680313,0.9646215683526613,0,0,0.7,GLM
0,7,2,0.4829305160790682,0.32551600750197063,0,0,0.7,GLM
0,7,3,0.3612923838198185,0.3190823967399245,0,0,0.7,GLM
0,8,0,0.6003003248013556,0.5871014073491096,0,0,0.7,GLM
0,8,1,0.6962825998663902,0.3618585281074047,0,0,0.7,GLM
0,8,2,0.449201849848032,0.3461014608937231,0,0,0.7,GLM
0,8,3,0.4130395606160164,0.28675365257500246,0,0,0.7,GLM
0,9,0,0.725058595649898,0.7260148979046128,0,0,0.7,GLM
0,9,1,0.7983656212687492,0.32698140056295827,0,0,0.7,GLM
0,9,2,0.4359031621366739,0.3009501831944693,0,0,0.7,GLM
0,9,3,0.36970683708786967,0.29070143249224534,0,0,0.7,GLM
1,0,0,0.7291395045816899,0.7282512620091438,1,1,0.7,MLP
1,0,1,0.5925577148795128,0.5167984738945961,1,1,0.7,MLP
1,0,2,0.5728094980120659,0.46529653631150725,1,1,0.7,MLP
1,1,0,0.6637965325266123,0.6577036075294018,1,1,0.7,MLP
1,1,1,0.5780717089772225,0.43813970759510995,1,1,0.7,MLP
1,2,0,0.6892115123569965,0.6888051986694336,1,1,0.7,MLP
1,2,1,0.5801085233688354,0.4624746710062027,1,1,0.7,MLP
1,3,0,0.6826795833185315,0.6793411999940873,1,1,0.7,MLP
1,3,1,0.6303906843066216,0.4559760883450508,1,1,0.7,MLP
1,4,0,0.6864569813013077,0.6913044445216656,1,1,0.7,MLP
1,4,1,0.5701777875423432,0.45019464790821073,1,1,0.7,MLP
1,4,2,0.5642951399087905,0.4374498177319765,1,1,0.7,MLP
1,4,3,0.5628632873296737,0.4358379304409027,1,1,0.7,MLP
1,4,4,0.5615755543112755,0.4356053750962019,1,1,0.7,MLP
1,5,0,0.6512746231630444,0.6466474235057831,1,1,0.7,MLP
1,5,1,0.5741935104131699,0.4195313091305169,1,1,0.7,MLP
1,6,0,0.8030096780508756,0.7986589636314999,1,1,0.7,MLP
1,6,1,0.5784804329276085,0.4548895650289275,1,1,0.7,MLP
